time,sex,classif1,classif2,obs_value,age_extracted
2012,Sex: Female,Age (5-year bands): 15-19,nan,1321.766,"(15, 19)"
2012,Sex: Female,Age (5-year bands): 20-24,nan,1314.171,"(20, 24)"
2012,Sex: Female,Age (5-year bands): 25-29,nan,1247.331,"(25, 29)"
2011,Sex: Male,"Age (Youth, adults): 15+",nan,10264.97,"(15, None)"
2011,Sex: Male,"Age (Youth, adults): 15-24",nan,2716.492,"(15, 24)"
2011,Sex: Male,"Age (Youth, adults): 25+",nan,7548.478,"(25, None)"
2011,Sex: Female,"Age (Youth, adults): 15+",nan,10394.291,"(15, None)"
2011,Sex: Female,"Age (Youth, adults): 15-24",nan,2632.502,"(15, 24)"
2011,Sex: Female,"Age (Youth, adults): 25+",nan,7761.789,"(25, None)"
2011,Sex: Male,Age (Aggregate bands): 15-24,nan,2716.492,"(15, 24)"
2011,Sex: Female,Age (Aggregate bands): 15-24,nan,2632.502,"(15, 24)"
2011,Sex: Male,Age (10-year bands): 15-24,nan,2716.492,"(15, 24)"
2011,Sex: Female,Age (10-year bands): 15-24,nan,2632.502,"(15, 24)"
2011,Sex: Male,Age (5-year bands): 15-19,nan,1369.437,"(15, 19)"
2011,Sex: Male,Age (5-year bands): 20-24,nan,1347.055,"(20, 24)"
2011,Sex: Male,Age (5-year bands): 25-29,nan,1239.928,"(25, 29)"
2011,Sex: Female,Age (5-year bands): 15-19,nan,1319.315,"(15, 19)"
2011,Sex: Female,Age (5-year bands): 20-24,nan,1313.187,"(20, 24)"
2011,Sex: Female,Age (5-year bands): 25-29,nan,1226.381,"(25, 29)"
2010,Sex: Male,"Age (Youth, adults): 15+",nan,10065.342,"(15, None)"
2010,Sex: Male,"Age (Youth, adults): 15-24",nan,2709.472,"(15, 24)"
2010,Sex: Male,"Age (Youth, adults): 25+",nan,7355.87,"(25, None)"
2010,Sex: Female,"Age (Youth, adults): 15+",nan,10183.18,"(15, None)"
2010,Sex: Female,"Age (Youth, adults): 15-24",nan,2627.01,"(15, 24)"
2010,Sex: Female,"Age (Youth, adults): 25+",nan,7556.17,"(25, None)"
2010,Sex: Male,Age (Aggregate bands): 15-24,nan,2709.472,"(15, 24)"
2010,Sex: Female,Age (Aggregate bands): 15-24,nan,2627.01,"(15, 24)"
2010,Sex: Male,Age (10-year bands): 15-24,nan,2709.472,"(15, 24)"
2010,Sex: Female,Age (10-year bands): 15-24,nan,2627.01,"(15, 24)"
2010,Sex: Male,Age (5-year bands): 15-19,nan,1366.832,"(15, 19)"
2010,Sex: Male,Age (5-year bands): 20-24,nan,1342.64,"(20, 24)"
2010,Sex: Male,Age (5-year bands): 25-29,nan,1217.434,"(25, 29)"
2010,Sex: Female,Age (5-year bands): 15-19,nan,1317.355,"(15, 19)"
2010,Sex: Female,Age (5-year bands): 20-24,nan,1309.654,"(20, 24)"
2010,Sex: Female,Age (5-year bands): 25-29,nan,1205.251,"(25, 29)"
2009,Sex: Male,"Age (Youth, adults): 15+",nan,9863.13,"(15, None)"
2009,Sex: Male,"Age (Youth, adults): 15-24",nan,2689.234,"(15, 24)"
2009,Sex: Male,"Age (Youth, adults): 25+",nan,7173.895,"(25, None)"
2009,Sex: Female,"Age (Youth, adults): 15+",nan,9970.541,"(15, None)"
2009,Sex: Female,"Age (Youth, adults): 15-24",nan,2608.307,"(15, 24)"
2009,Sex: Female,"Age (Youth, adults): 25+",nan,7362.234,"(25, None)"
2009,Sex: Male,Age (Aggregate bands): 15-24,nan,2689.234,"(15, 24)"
2009,Sex: Female,Age (Aggregate bands): 15-24,nan,2608.307,"(15, 24)"
2009,Sex: Male,Age (10-year bands): 15-24,nan,2689.234,"(15, 24)"
2009,Sex: Female,Age (10-year bands): 15-24,nan,2608.307,"(15, 24)"
2009,Sex: Male,Age (5-year bands): 15-19,nan,1365.845,"(15, 19)"
2009,Sex: Male,Age (5-year bands): 20-24,nan,1323.389,"(20, 24)"
2009,Sex: Male,Age (5-year bands): 25-29,nan,1196.692,"(25, 29)"
2009,Sex: Female,Age (5-year bands): 15-19,nan,1316.712,"(15, 19)"
2009,Sex: Female,Age (5-year bands): 20-24,nan,1291.594,"(20, 24)"
2009,Sex: Female,Age (5-year bands): 25-29,nan,1184.63,"(25, 29)"
2008,Sex: Male,"Age (Youth, adults): 15+",nan,9660.845,"(15, None)"
2008,Sex: Male,"Age (Youth, adults): 15-24",nan,2666.519,"(15, 24)"
2008,Sex: Male,"Age (Youth, adults): 25+",nan,6994.326,"(25, None)"
2008,Sex: Female,"Age (Youth, adults): 15+",nan,9757.044,"(15, None)"
2008,Sex: Female,"Age (Youth, adults): 15-24",nan,2586.936,"(15, 24)"
2008,Sex: Female,"Age (Youth, adults): 25+",nan,7170.108,"(25, None)"
2008,Sex: Male,Age (Aggregate bands): 15-24,nan,2666.519,"(15, 24)"
2008,Sex: Female,Age (Aggregate bands): 15-24,nan,2586.936,"(15, 24)"
2008,Sex: Male,Age (10-year bands): 15-24,nan,2666.519,"(15, 24)"
2008,Sex: Female,Age (10-year bands): 15-24,nan,2586.936,"(15, 24)"
2008,Sex: Male,Age (5-year bands): 15-19,nan,1364.852,"(15, 19)"
2008,Sex: Male,Age (5-year bands): 20-24,nan,1301.667,"(20, 24)"
2008,Sex: Male,Age (5-year bands): 25-29,nan,1176.212,"(25, 29)"
2008,Sex: Female,Age (5-year bands): 15-19,nan,1316.472,"(15, 19)"
2008,Sex: Female,Age (5-year bands): 20-24,nan,1270.465,"(20, 24)"
2008,Sex: Female,Age (5-year bands): 25-29,nan,1163.671,"(25, 29)"
2007,Sex: Male,"Age (Youth, adults): 15+",nan,9458.68,"(15, None)"
2007,Sex: Male,"Age (Youth, adults): 15-24",nan,2643.463,"(15, 24)"
2007,Sex: Male,"Age (Youth, adults): 25+",nan,6815.218,"(25, None)"
2007,Sex: Female,"Age (Youth, adults): 15+",nan,9544.43,"(15, None)"
2007,Sex: Female,"Age (Youth, adults): 15-24",nan,2565.47,"(15, 24)"
2007,Sex: Female,"Age (Youth, adults): 25+",nan,6978.96,"(25, None)"
2007,Sex: Male,Age (Aggregate bands): 15-24,nan,2643.463,"(15, 24)"
2007,Sex: Female,Age (Aggregate bands): 15-24,nan,2565.47,"(15, 24)"
2007,Sex: Male,Age (10-year bands): 15-24,nan,2643.463,"(15, 24)"
2007,Sex: Female,Age (10-year bands): 15-24,nan,2565.47,"(15, 24)"
2007,Sex: Male,Age (5-year bands): 15-19,nan,1363.746,"(15, 19)"
2007,Sex: Male,Age (5-year bands): 20-24,nan,1279.717,"(20, 24)"
2007,Sex: Male,Age (5-year bands): 25-29,nan,1156.042,"(25, 29)"
2007,Sex: Female,Age (5-year bands): 15-19,nan,1315.708,"(15, 19)"
2007,Sex: Female,Age (5-year bands): 20-24,nan,1249.762,"(20, 24)"
2007,Sex: Female,Age (5-year bands): 25-29,nan,1143.426,"(25, 29)"
2006,Sex: Male,"Age (Youth, adults): 15+",nan,9253.466,"(15, None)"
2006,Sex: Male,"Age (Youth, adults): 15-24",nan,2620.314,"(15, 24)"
2006,Sex: Male,"Age (Youth, adults): 25+",nan,6633.153,"(25, None)"
2006,Sex: Female,"Age (Youth, adults): 15+",nan,9331.229,"(15, None)"
2006,Sex: Female,"Age (Youth, adults): 15-24",nan,2543.972,"(15, 24)"
2006,Sex: Female,"Age (Youth, adults): 25+",nan,6787.258,"(25, None)"
2006,Sex: Male,Age (Aggregate bands): 15-24,nan,2620.314,"(15, 24)"
2006,Sex: Female,Age (Aggregate bands): 15-24,nan,2543.972,"(15, 24)"
2006,Sex: Male,Age (10-year bands): 15-24,nan,2620.314,"(15, 24)"
2006,Sex: Female,Age (10-year bands): 15-24,nan,2543.972,"(15, 24)"
