time,obs_value,Sex,Age (Youth bands),Education (Aggregate levels)
2016,, Female, 25-29, Level not stated
2012,4064.159, Total, 15-29, Total
2012,45.492, Total, 15-29, Less than basic
2012,1974.98, Total, 15-29, Basic
2012,611.891, Total, 15-29, Intermediate
2012,1429.244, Total, 15-29, Advanced
2012,2.553, Total, 15-29, Level not stated
2012,601.417, Total, 15-19, Total
2012,9.441, Total, 15-19, Less than basic
2012,416.909, Total, 15-19, Basic
2012,111.074, Total, 15-19, Intermediate
2012,63.842, Total, 15-19, Advanced
2012,, Total, 15-19, Level not stated
2012,1533.362, Total, 20-24, Total
2012,15.02, Total, 20-24, Less than basic
2012,731.239, Total, 20-24, Basic
2012,248.637, Total, 20-24, Intermediate
2012,537.568, Total, 20-24, Advanced
2012,0.898, Total, 20-24, Level not stated
2012,1929.38, Total, 25-29, Total
2012,21.029, Total, 25-29, Less than basic
2012,826.832, Total, 25-29, Basic
2012,252.179, Total, 25-29, Intermediate
2012,827.835, Total, 25-29, Advanced
2012,1.504, Total, 25-29, Level not stated
2012,2566.27, Male, 15-29, Total
2012,37.298, Male, 15-29, Less than basic
2012,1463.111, Male, 15-29, Basic
2012,414.184, Male, 15-29, Intermediate
2012,649.763, Male, 15-29, Advanced
2012,1.913, Male, 15-29, Level not stated
2012,429.536, Male, 15-19, Total
2012,8.236, Male, 15-19, Less than basic
2012,321.5, Male, 15-19, Basic
2012,71.808, Male, 15-19, Intermediate
2012,27.89, Male, 15-19, Advanced
2012,, Male, 15-19, Level not stated
2012,986.795, Male, 20-24, Total
2012,12.044, Male, 20-24, Less than basic
2012,548.164, Male, 20-24, Basic
2012,172.089, Male, 20-24, Intermediate
2012,253.951, Male, 20-24, Advanced
2012,0.546, Male, 20-24, Level not stated
2012,1149.939, Male, 25-29, Total
2012,17.017, Male, 25-29, Less than basic
2012,593.448, Male, 25-29, Basic
2012,170.287, Male, 25-29, Intermediate
2012,367.922, Male, 25-29, Advanced
2012,1.266, Male, 25-29, Level not stated
2012,1497.89, Female, 15-29, Total
2012,8.194, Female, 15-29, Less than basic
2012,511.868, Female, 15-29, Basic
2012,197.707, Female, 15-29, Intermediate
2012,779.482, Female, 15-29, Advanced
2012,0.639, Female, 15-29, Level not stated
2012,171.881, Female, 15-19, Total
2012,1.205, Female, 15-19, Less than basic
2012,95.409, Female, 15-19, Basic
2012,39.266, Female, 15-19, Intermediate
2012,35.952, Female, 15-19, Advanced
2012,, Female, 15-19, Level not stated
2012,546.568, Female, 20-24, Total
2012,2.976, Female, 20-24, Less than basic
2012,183.074, Female, 20-24, Basic
2012,76.548, Female, 20-24, Intermediate
2012,283.616, Female, 20-24, Advanced
2012,, Female, 20-24, Level not stated
2012,779.44, Female, 25-29, Total
2012,4.013, Female, 25-29, Less than basic
2012,233.385, Female, 25-29, Basic
2012,81.892, Female, 25-29, Intermediate
2012,459.913, Female, 25-29, Advanced
2012,, Female, 25-29, Level not stated
2011,4079.026, Total, 15-29, Total
2011,53.222, Total, 15-29, Less than basic
2011,2657.404, Total, 15-29, Basic
2011,1365.982, Total, 15-29, Advanced
2011,2.418, Total, 15-29, Level not stated
2011,608.682, Total, 15-19, Total
2011,10.169, Total, 15-19, Less than basic
2011,535.862, Total, 15-19, Basic
2011,62.578, Total, 15-19, Advanced
2011,, Total, 15-19, Level not stated
2011,1566.012, Total, 20-24, Total
2011,18.009, Total, 20-24, Less than basic
2011,1010.364, Total, 20-24, Basic
2011,536.876, Total, 20-24, Advanced
2011,0.763, Total, 20-24, Level not stated
2011,1904.332, Total, 25-29, Total
2011,25.044, Total, 25-29, Less than basic
2011,1111.178, Total, 25-29, Basic
2011,766.528, Total, 25-29, Advanced
2011,1.581, Total, 25-29, Level not stated
2011,2584.225, Male, 15-29, Total
2011,43.557, Male, 15-29, Less than basic
2011,1912.535, Male, 15-29, Basic
2011,626.26, Male, 15-29, Advanced
2011,1.873, Male, 15-29, Level not stated
2011,429.016, Male, 15-19, Total
2011,9.184, Male, 15-19, Less than basic
2011,389.474, Male, 15-19, Basic
2011,30.284, Male, 15-19, Advanced
2011,, Male, 15-19, Level not stated
2011,1012.878, Male, 20-24, Total
2011,13.687, Male, 20-24, Less than basic
2011,741.641, Male, 20-24, Basic
2011,256.896, Male, 20-24, Advanced
2011,0.654, Male, 20-24, Level not stated
2011,1142.332, Male, 25-29, Total
2011,20.686, Male, 25-29, Less than basic
2011,781.42, Male, 25-29, Basic
2011,339.08, Male, 25-29, Advanced
2011,1.146, Male, 25-29, Level not stated
2011,1494.802, Female, 15-29, Total
2011,9.665, Female, 15-29, Less than basic
2011,744.869, Female, 15-29, Basic
2011,739.722, Female, 15-29, Advanced
2011,0.545, Female, 15-29, Level not stated
2011,179.667, Female, 15-19, Total
2011,0.985, Female, 15-19, Less than basic
2011,146.388, Female, 15-19, Basic
2011,32.294, Female, 15-19, Advanced
2011,, Female, 15-19, Level not stated
2011,553.134, Female, 20-24, Total
2011,4.322, Female, 20-24, Less than basic
2011,268.723, Female, 20-24, Basic
2011,279.98, Female, 20-24, Advanced
2011,, Female, 20-24, Level not stated
2011,762.0, Female, 25-29, Total
2011,4.359, Female, 25-29, Less than basic
