time,sex,classif1,classif2,obs_value,age_extracted
2015,Sex: Male,"Age (Youth, adults): 25+",nan,6781.59,"(25, None)"
2015,Sex: Female,"Age (Youth, adults): 15+",nan,5360.455,"(15, None)"
2015,Sex: Female,"Age (Youth, adults): 15-24",nan,639.226,"(15, 24)"
2015,Sex: Female,"Age (Youth, adults): 25+",nan,4721.228,"(25, None)"
2015,Sex: Male,Age (Aggregate bands): 15-24,nan,1324.973,"(15, 24)"
2015,Sex: Female,Age (Aggregate bands): 15-24,nan,639.226,"(15, 24)"
2014,Sex: Male,"Age (Youth, adults): 15+",nan,8044.491,"(15, None)"
2014,Sex: Male,"Age (Youth, adults): 15-24",nan,1361.17,"(15, 24)"
2014,Sex: Male,"Age (Youth, adults): 25+",nan,6683.32,"(25, None)"
2014,Sex: Female,"Age (Youth, adults): 15+",nan,5320.569,"(15, None)"
2014,Sex: Female,"Age (Youth, adults): 15-24",nan,666.091,"(15, 24)"
2014,Sex: Female,"Age (Youth, adults): 25+",nan,4654.477,"(25, None)"
2014,Sex: Male,Age (Aggregate bands): 15-24,nan,1361.17,"(15, 24)"
2014,Sex: Female,Age (Aggregate bands): 15-24,nan,666.091,"(15, 24)"
2013,Sex: Male,"Age (Youth, adults): 15+",nan,7975.244,"(15, None)"
2013,Sex: Male,"Age (Youth, adults): 15-24",nan,1396.769,"(15, 24)"
2013,Sex: Male,"Age (Youth, adults): 25+",nan,6578.475,"(25, None)"
2013,Sex: Female,"Age (Youth, adults): 15+",nan,5276.738,"(15, None)"
2013,Sex: Female,"Age (Youth, adults): 15-24",nan,693.537,"(15, 24)"
2013,Sex: Female,"Age (Youth, adults): 25+",nan,4583.202,"(25, None)"
2013,Sex: Male,Age (Aggregate bands): 15-24,nan,1396.769,"(15, 24)"
2013,Sex: Female,Age (Aggregate bands): 15-24,nan,693.537,"(15, 24)"
2012,Sex: Male,"Age (Youth, adults): 15+",nan,7901.35,"(15, None)"
2012,Sex: Male,"Age (Youth, adults): 15-24",nan,1431.9,"(15, 24)"
2012,Sex: Male,"Age (Youth, adults): 25+",nan,6469.449,"(25, None)"
2012,Sex: Female,"Age (Youth, adults): 15+",nan,5229.764,"(15, None)"
2012,Sex: Female,"Age (Youth, adults): 15-24",nan,721.474,"(15, 24)"
2012,Sex: Female,"Age (Youth, adults): 25+",nan,4508.29,"(25, None)"
2012,Sex: Male,Age (Aggregate bands): 15-24,nan,1431.9,"(15, 24)"
2012,Sex: Female,Age (Aggregate bands): 15-24,nan,721.474,"(15, 24)"
2011,Sex: Male,"Age (Youth, adults): 15+",nan,7859.751,"(15, None)"
2011,Sex: Male,"Age (Youth, adults): 15-24",nan,1454.883,"(15, 24)"
2011,Sex: Male,"Age (Youth, adults): 25+",nan,6404.868,"(25, None)"
2011,Sex: Female,"Age (Youth, adults): 15+",nan,5154.31,"(15, None)"
2011,Sex: Female,"Age (Youth, adults): 15-24",nan,735.264,"(15, 24)"
2011,Sex: Female,"Age (Youth, adults): 25+",nan,4419.046,"(25, None)"
2011,Sex: Male,Age (Aggregate bands): 15-24,nan,1454.883,"(15, 24)"
2011,Sex: Female,Age (Aggregate bands): 15-24,nan,735.264,"(15, 24)"
2010,Sex: Male,"Age (Youth, adults): 15+",nan,7774.2,"(15, None)"
2010,Sex: Male,"Age (Youth, adults): 15-24",nan,1481.357,"(15, 24)"
2010,Sex: Male,"Age (Youth, adults): 25+",nan,6292.843,"(25, None)"
2010,Sex: Female,"Age (Youth, adults): 15+",nan,5057.102,"(15, None)"
2010,Sex: Female,"Age (Youth, adults): 15-24",nan,749.632,"(15, 24)"
2010,Sex: Female,"Age (Youth, adults): 25+",nan,4307.47,"(25, None)"
2010,Sex: Male,Age (Aggregate bands): 15-24,nan,1481.357,"(15, 24)"
2010,Sex: Female,Age (Aggregate bands): 15-24,nan,749.632,"(15, 24)"
2009,Sex: Male,"Age (Youth, adults): 15+",nan,7634.892,"(15, None)"
2009,Sex: Male,"Age (Youth, adults): 15-24",nan,1498.82,"(15, 24)"
2009,Sex: Male,"Age (Youth, adults): 25+",nan,6136.072,"(25, None)"
2009,Sex: Female,"Age (Youth, adults): 15+",nan,5003.977,"(15, None)"
2009,Sex: Female,"Age (Youth, adults): 15-24",nan,782.861,"(15, 24)"
2009,Sex: Female,"Age (Youth, adults): 25+",nan,4221.116,"(25, None)"
2009,Sex: Male,Age (Aggregate bands): 15-24,nan,1498.82,"(15, 24)"
2009,Sex: Female,Age (Aggregate bands): 15-24,nan,782.861,"(15, 24)"
2008,Sex: Male,"Age (Youth, adults): 15+",nan,7571.647,"(15, None)"
2008,Sex: Male,"Age (Youth, adults): 15-24",nan,1521.477,"(15, 24)"
2008,Sex: Male,"Age (Youth, adults): 25+",nan,6050.17,"(25, None)"
2008,Sex: Female,"Age (Youth, adults): 15+",nan,4881.439,"(15, None)"
2008,Sex: Female,"Age (Youth, adults): 15-24",nan,797.646,"(15, 24)"
2008,Sex: Female,"Age (Youth, adults): 25+",nan,4083.793,"(25, None)"
2008,Sex: Male,Age (Aggregate bands): 15-24,nan,1521.477,"(15, 24)"
2008,Sex: Female,Age (Aggregate bands): 15-24,nan,797.646,"(15, 24)"
2007,Sex: Male,"Age (Youth, adults): 15+",nan,7450.998,"(15, None)"
2007,Sex: Male,"Age (Youth, adults): 15-24",nan,1523.152,"(15, 24)"
2007,Sex: Male,"Age (Youth, adults): 25+",nan,5927.846,"(25, None)"
2007,Sex: Female,"Age (Youth, adults): 15+",nan,4782.925,"(15, None)"
2007,Sex: Female,"Age (Youth, adults): 15-24",nan,807.306,"(15, 24)"
2007,Sex: Female,"Age (Youth, adults): 25+",nan,3975.619,"(25, None)"
2007,Sex: Male,Age (Aggregate bands): 15-24,nan,1523.152,"(15, 24)"
2007,Sex: Female,Age (Aggregate bands): 15-24,nan,807.306,"(15, 24)"
2006,Sex: Male,"Age (Youth, adults): 15+",nan,7353.201,"(15, None)"
2006,Sex: Male,"Age (Youth, adults): 15-24",nan,1534.316,"(15, 24)"
2006,Sex: Male,"Age (Youth, adults): 25+",nan,5818.885,"(25, None)"
2006,Sex: Female,"Age (Youth, adults): 15+",nan,4709.412,"(15, None)"
2006,Sex: Female,"Age (Youth, adults): 15-24",nan,831.844,"(15, 24)"
2006,Sex: Female,"Age (Youth, adults): 25+",nan,3877.568,"(25, None)"
2006,Sex: Male,Age (Aggregate bands): 15-24,nan,1534.316,"(15, 24)"
2006,Sex: Female,Age (Aggregate bands): 15-24,nan,831.844,"(15, 24)"
2005,Sex: Male,"Age (Youth, adults): 15+",nan,7141.683,"(15, None)"
2005,Sex: Male,"Age (Youth, adults): 15-24",nan,1520.001,"(15, 24)"
2005,Sex: Male,"Age (Youth, adults): 25+",nan,5621.683,"(25, None)"
2005,Sex: Female,"Age (Youth, adults): 15+",nan,4554.021,"(15, None)"
2005,Sex: Female,"Age (Youth, adults): 15-24",nan,852.634,"(15, 24)"
2005,Sex: Female,"Age (Youth, adults): 25+",nan,3701.388,"(25, None)"
2005,Sex: Male,Age (Aggregate bands): 15-24,nan,1520.0,"(15, 24)"
2005,Sex: Female,Age (Aggregate bands): 15-24,nan,852.633,"(15, 24)"
2004,Sex: Male,"Age (Youth, adults): 15+",nan,7117.055,"(15, None)"
2004,Sex: Male,"Age (Youth, adults): 15-24",nan,1522.484,"(15, 24)"
2004,Sex: Male,"Age (Youth, adults): 25+",nan,5594.57,"(25, None)"
2004,Sex: Female,"Age (Youth, adults): 15+",nan,4266.8,"(15, None)"
2004,Sex: Female,"Age (Youth, adults): 15-24",nan,802.203,"(15, 24)"
2004,Sex: Female,"Age (Youth, adults): 25+",nan,3464.597,"(25, None)"
2004,Sex: Male,Age (Aggregate bands): 15-24,nan,1522.484,"(15, 24)"
2004,Sex: Female,Age (Aggregate bands): 15-24,nan,802.203,"(15, 24)"
2003,Sex: Male,"Age (Youth, adults): 15+",nan,6922.119,"(15, None)"
2003,Sex: Male,"Age (Youth, adults): 15-24",nan,1477.562,"(15, 24)"
2003,Sex: Male,"Age (Youth, adults): 25+",nan,5444.557,"(25, None)"
2003,Sex: Female,"Age (Youth, adults): 15+",nan,4085.122,"(15, None)"
2003,Sex: Female,"Age (Youth, adults): 15-24",nan,762.65,"(15, 24)"
2003,Sex: Female,"Age (Youth, adults): 25+",nan,3322.472,"(25, None)"
2003,Sex: Male,Age (Aggregate bands): 15-24,nan,1477.562,"(15, 24)"
2003,Sex: Female,Age (Aggregate bands): 15-24,nan,762.65,"(15, 24)"
2002,Sex: Male,"Age (Youth, adults): 15+",nan,6722.211,"(15, None)"
2002,Sex: Male,"Age (Youth, adults): 15-24",nan,1470.089,"(15, 24)"
2002,Sex: Male,"Age (Youth, adults): 25+",nan,5252.121,"(25, None)"
2002,Sex: Female,"Age (Youth, adults): 15+",nan,4095.366,"(15, None)"
2002,Sex: Female,"Age (Youth, adults): 15-24",nan,790.885,"(15, 24)"
2002,Sex: Female,"Age (Youth, adults): 25+",nan,3304.482,"(25, None)"
2002,Sex: Male,Age (Aggregate bands): 15-24,nan,1470.089,"(15, 24)"
2002,Sex: Female,Age (Aggregate bands): 15-24,nan,790.885,"(15, 24)"
2001,Sex: Male,"Age (Youth, adults): 15+",nan,6574.845,"(15, None)"
2001,Sex: Male,"Age (Youth, adults): 15-24",nan,1475.603,"(15, 24)"
2001,Sex: Male,"Age (Youth, adults): 25+",nan,5099.243,"(25, None)"
2001,Sex: Female,"Age (Youth, adults): 15+",nan,4045.199,"(15, None)"
2001,Sex: Female,"Age (Youth, adults): 15-24",nan,809.856,"(15, 24)"
2001,Sex: Female,"Age (Youth, adults): 25+",nan,3235.343,"(25, None)"
2001,Sex: Male,Age (Aggregate bands): 15-24,nan,1475.603,"(15, 24)"
2001,Sex: Female,Age (Aggregate bands): 15-24,nan,809.855,"(15, 24)"
2000,Sex: Male,"Age (Youth, adults): 15+",nan,6464.178,"(15, None)"
2000,Sex: Male,"Age (Youth, adults): 15-24",nan,1466.486,"(15, 24)"
2000,Sex: Male,"Age (Youth, adults): 25+",nan,4997.691,"(25, None)"
2000,Sex: Female,"Age (Youth, adults): 15+",nan,3888.154,"(15, None)"
2000,Sex: Female,"Age (Youth, adults): 15-24",nan,789.315,"(15, 24)"
2000,Sex: Female,"Age (Youth, adults): 25+",nan,3098.839,"(25, None)"
2000,Sex: Male,Age (Aggregate bands): 15-24,nan,1466.486,"(15, 24)"
2000,Sex: Female,Age (Aggregate bands): 15-24,nan,789.314,"(15, 24)"
1999,Sex: Male,"Age (Youth, adults): 15+",nan,6272.058,"(15, None)"
1999,Sex: Male,"Age (Youth, adults): 15-24",nan,1438.961,"(15, 24)"
1999,Sex: Male,"Age (Youth, adults): 25+",nan,4833.097,"(25, None)"
1999,Sex: Female,"Age (Youth, adults): 15+",nan,3811.508,"(15, None)"
1999,Sex: Female,"Age (Youth, adults): 15-24",nan,783.941,"(15, 24)"
1999,Sex: Female,"Age (Youth, adults): 25+",nan,3027.567,"(25, None)"
1999,Sex: Male,Age (Aggregate bands): 15-24,nan,1438.96,"(15, 24)"
1999,Sex: Female,Age (Aggregate bands): 15-24,nan,783.941,"(15, 24)"
1998,Sex: Male,"Age (Youth, adults): 15+",nan,6087.706,"(15, None)"
1998,Sex: Male,"Age (Youth, adults): 15-24",nan,1428.968,"(15, 24)"
1998,Sex: Male,"Age (Youth, adults): 25+",nan,4658.738,"(25, None)"
1998,Sex: Female,"Age (Youth, adults): 15+",nan,3774.974,"(15, None)"
1998,Sex: Female,"Age (Youth, adults): 15-24",nan,799.461,"(15, 24)"
1998,Sex: Female,"Age (Youth, adults): 25+",nan,2975.513,"(25, None)"
1998,Sex: Male,Age (Aggregate bands): 15-24,nan,1428.968,"(15, 24)"
1998,Sex: Female,Age (Aggregate bands): 15-24,nan,799.461,"(15, 24)"
1997,Sex: Male,"Age (Youth, adults): 15+",nan,5958.918,"(15, None)"
1997,Sex: Male,"Age (Youth, adults): 15-24",nan,1419.926,"(15, 24)"
1997,Sex: Male,"Age (Youth, adults): 25+",nan,4538.992,"(25, None)"
1997,Sex: Female,"Age (Youth, adults): 15+",nan,3651.29,"(15, None)"
1997,Sex: Female,"Age (Youth, adults): 15-24",nan,786.688,"(15, 24)"
1997,Sex: Female,"Age (Youth, adults): 25+",nan,2864.602,"(25, None)"
1997,Sex: Male,Age (Aggregate bands): 15-24,nan,1419.925,"(15, 24)"
1997,Sex: Female,Age (Aggregate bands): 15-24,nan,786.688,"(15, 24)"
1996,Sex: Male,"Age (Youth, adults): 15+",nan,5781.914,"(15, None)"
1996,Sex: Male,"Age (Youth, adults): 15-24",nan,1388.619,"(15, 24)"
1996,Sex: Male,"Age (Youth, adults): 25+",nan,4393.295,"(25, None)"
1996,Sex: Female,"Age (Youth, adults): 15+",nan,3555.147,"(15, None)"
1996,Sex: Female,"Age (Youth, adults): 15-24",nan,770.773,"(15, 24)"
1996,Sex: Female,"Age (Youth, adults): 25+",nan,2784.374,"(25, None)"
1996,Sex: Male,Age (Aggregate bands): 15-24,nan,1388.619,"(15, 24)"
1996,Sex: Female,Age (Aggregate bands): 15-24,nan,770.773,"(15, 24)"
1995,Sex: Male,"Age (Youth, adults): 15+",nan,5653.337,"(15, None)"
1995,Sex: Male,"Age (Youth, adults): 15-24",nan,1380.397,"(15, 24)"
1995,Sex: Male,"Age (Youth, adults): 25+",nan,4272.941,"(25, None)"
1995,Sex: Female,"Age (Youth, adults): 15+",nan,3439.054,"(15, None)"
1995,Sex: Female,"Age (Youth, adults): 15-24",nan,758.86,"(15, 24)"
1995,Sex: Female,"Age (Youth, adults): 25+",nan,2680.194,"(25, None)"
1995,Sex: Male,Age (Aggregate bands): 15-24,nan,1380.397,"(15, 24)"
1995,Sex: Female,Age (Aggregate bands): 15-24,nan,758.86,"(15, 24)"
1994,Sex: Male,"Age (Youth, adults): 15+",nan,5486.753,"(15, None)"
1994,Sex: Male,"Age (Youth, adults): 15-24",nan,1357.605,"(15, 24)"
1994,Sex: Male,"Age (Youth, adults): 25+",nan,4129.149,"(25, None)"
1994,Sex: Female,"Age (Youth, adults): 15+",nan,3347.689,"(15, None)"
1994,Sex: Female,"Age (Youth, adults): 15-24",nan,745.397,"(15, 24)"
1994,Sex: Female,"Age (Youth, adults): 25+",nan,2602.292,"(25, None)"
1994,Sex: Male,Age (Aggregate bands): 15-24,nan,1357.604,"(15, 24)"
1994,Sex: Female,Age (Aggregate bands): 15-24,nan,745.397,"(15, 24)"
1993,Sex: Male,"Age (Youth, adults): 15+",nan,5309.807,"(15, None)"
1993,Sex: Male,"Age (Youth, adults): 15-24",nan,1343.643,"(15, 24)"
1993,Sex: Male,"Age (Youth, adults): 25+",nan,3966.164,"(25, None)"
1993,Sex: Female,"Age (Youth, adults): 15+",nan,3293.264,"(15, None)"
1993,Sex: Female,"Age (Youth, adults): 15-24",nan,748.306,"(15, 24)"
1993,Sex: Female,"Age (Youth, adults): 25+",nan,2544.958,"(25, None)"
1993,Sex: Male,Age (Aggregate bands): 15-24,nan,1343.643,"(15, 24)"
1993,Sex: Female,Age (Aggregate bands): 15-24,nan,748.306,"(15, 24)"
1992,Sex: Male,"Age (Youth, adults): 15+",nan,5144.378,"(15, None)"
