"POBLACIÓN DE 15 AÑOS Y MAS, SEGÚN SITUACIÓN EN LA FUERZA DE TRABAJO, GRUPO DE EDAD Y SEXO",,,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
ESTUDIANTE,"964,608","1,028,661","1,108,591","1,137,531","1,151,645","1,199,977","1,255,870"
15 - 24,"869,910","938,074","1,017,145","1,041,149","1,061,973","1,105,224","1,151,734"
25 - 44,"90,662","85,342","86,871","92,075","86,223","90,486","96,534"
45 - 64,"1,635","3,170","3,062","2,857","2,190","2,694","5,045"
65 Y MAS,"2,401","2,075","1,513","1,450","1,259","1,573","2,557"
15 - 24,"515,220","546,555","576,539","603,102","567,141","568,664","474,347"
25 - 44,"1,453,428","1,549,479","1,577,819","1,623,714","1,540,145","1,612,786","1,670,851"
45 - 64,"953,100","1,036,158","1,093,392","1,143,025","1,133,029","1,209,663","1,238,770"
65 Y MAS,"561,490","582,301","574,102","595,634","587,798","575,035","501,750"
15 - 24,"83,653","77,233","21,552","24,446","23,777","28,134","38,567"
25 - 44,"77,989","84,321","57,469","59,063","54,544","56,183","53,558"
45 - 64,"56,553","60,455","49,227","54,357","49,376","46,619","38,437"
65 Y MAS,"42,386","43,995","48,760","52,329","51,181","53,205","63,002"
15 - 24,"185,980","234,693","265,462","284,006","256,458","255,983","257,627"
25 - 44,"139,735","152,987","173,800","175,337","167,153","215,515","207,152"
45 - 64,"384,762","417,518","427,870","437,369","432,391","451,039","508,286"
65 Y MAS,"648,116","689,680","697,273","714,311","785,877","842,004","998,223"
